category,disposal,imageUrl,instruction,name,recyclable,similarItem
Metal,Dispose in regular blue recycling bins,https://recyclecoach.com/wp-content/uploads/2019/09/how-to-recycle-aerosol-spray-cans-1.png,Please empty contents,Aerosol can,TRUE,"[""Metal container - Non-food (e.g. paint container etc)""]"
Paper,Dispose in regular blue recycling bins,https://cdn1.npcdn.net/image/155047405045fe6f4dfedd0b2ab20548358cf1b5e4.jpg?md5id=357429c78239304d194f517cde4ad439&new_width=400&new_height=400&size=max&font_size=14&w=-62170009200,,Paper bag,TRUE,"[""Plastic bag (except for oxo- and bio-degradable bags)""]"
Glass,Dispose in regular blue recycling bins,https://singaporesoap.com/wp-content/uploads/2015/07/15ml-Amber-Glass-Bottle-with-Glass-Dropper.jpg,Please empty and rinse when necessary,Glass bottle - Medicine and supplement,TRUE,"[""Glass bottle - Cosmetic"",""Leftover medicine""]"
Plastic,Dispose as general waste,https://www.wpr.org/sites/default/files/styles/resp_orig_custom_user_wide_1x/https/wpr-public.s3.amazonaws.com/ttbook/images/IMG_0432.jpg?itok=XN5q00O6,,Mahjong Tiles,FALSE,"[""Melamine products (e.g. Melamine cups, melamine plates etc)""]"
Glass,Can be recycled at specific collection points,https://www2.northwestmuseum.org/webart2/17714.jpg,,Light Bulb,TRUE,"[""Household battery"",""Windows""]"
Plastic,Dispose in regular blue recycling bins,https://cf.shopee.sg/file/b439c518fddfe5e6f4beca6ead2eb1ab,,Plastic clothes hanger,TRUE,"[""Old items which are not in good condition (e.g. clothes, shoes, bag, soft toy, umbrella etc)"",""Old items which are in good condition (e.g. clothes, shoes, bag, soft toy, umbrella, spectacle etc)""]"
Plastic,Dispose as general waste,http://sc04.alicdn.com/kf/HTB1cNxFD9tYBeNjSspkq6zU8VXag.jpg,,Oxo- and bio-degradable bags,FALSE,"[""Gift wrapping paper"",""Paper bag""]"
Paper,Dispose in regular blue recycling bins,https://www.asiaone.com/sites/default/files/inline-images/20200303_mail_tf.jpg,,Envelope (With and without plastic window),TRUE,"[""Red packet"",""Writing paper""]"
Paper,Dispose as general waste,https://www.bra.org/wp-content/uploads/guide-paper-paperplatescups.jpg,,Used paper disposables,FALSE,"[""Disposable wooden chopstick"",""Paper packaging that are contaminated with food (eg pizza box, paper bag for pastries)"",""Plastic bottle/container - Food or Beverage (e.g. PET, PP or PS bottles/container, carbonated and non-carbonated drinks etc)""]"
Paper,Dispose in regular blue recycling bins,https://environmentjournal.online/wp-content/uploads/2019/03/receipts-1372960_1920-800x445.jpg,,Paper receipt,TRUE,"[""Shredded paper""]"
